baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Saccharomyces	2664.707251973	1.30034864547391	0.943322935987908	1.37847665509384	0.168056170674882	0.997000488191416
Pelobacter	2608.3571015706	-0.220528343353072	0.884575014385305	-0.24930428710596	0.803125415371036	0.997000488191416
Salmonella	2527.70795884054	-1.4508365246615	0.955385977782194	-1.51858678942456	0.128866538458906	0.997000488191416
Haemophilus	2426.04465873327	-0.205116764244746	0.884532097542715	-0.231892957660409	0.816621154432298	0.998557641529947
Anoxybacillus	2353.07235879042	0.0989917956399116	0.883191612752094	0.112084166346921	0.910756671735568	0.998557641529947
Brevibacillus	2329.87106846155	-0.918674605865966	0.916531773618434	-1.00233797922692	0.31618038545433	0.997000488191416
Pseudomonas	2299.00472802568	-0.37461568436118	0.889012691678697	-0.421383955333421	0.673474733346179	0.997000488191416
Arabidopsis	2295.96824747364	1.61333377512881	0.968395281963328	1.66598681878946	0.0957160398368473	0.997000488191416
Actinobacillus	2287.85736464152	-0.981722008809843	0.920631386763275	-1.0663573096952	0.286262151928367	0.997000488191416
Natranaerobius	2247.7450778552	-0.585723826569865	0.897524195170692	-0.652599483915273	0.514014518370911	0.997000488191416
Synechococcus	2210.28569026008	-0.0224499805259101	0.883028149973374	-0.0254238559966486	0.979716882922427	0.99996197636161
Pedobacter	2209.23458581379	0.162535779417546	0.88414816067671	0.183833192949408	0.854144315667787	0.998557641529947
Elusimicrobium	2147.1456142925	0.998837148129157	0.92198900614397	1.08335038864139	0.278652927455473	0.997000488191416
Epulopiscium	2139.97440359022	1.20140651496828	0.93645679711571	1.28292786027996	0.199517351063286	0.997000488191416
Francisella	2131.76949087779	-0.85447434082287	0.91260941832343	-0.936297964569157	0.349119795861025	0.997000488191416
Peptostreptococcus	2129.20488159922	-0.257529717458259	0.886079844232018	-0.29063940358723	0.771327120607436	0.997000488191416
Anaerofustis	2126.54712953702	0.545011632851632	0.895738865793098	0.608449240805324	0.542889561607676	0.997000488191416
Leuconostoc	2085.04153655881	-0.686709699480762	0.902914869620236	-0.760547558342451	0.446927352825936	0.997000488191416
Dictyoglomus	2054.25625905046	-0.405907894938336	0.890488399060332	-0.455826145929202	0.648515001069758	0.997000488191416
Brucella	2037.76004811807	-1.93722552327678	0.994616518424429	-1.94771098950331	0.0514495544152855	0.886900855395519
Ustilago	2024.98644310087	0.500840361529497	0.894035529783679	0.560201854226845	0.575341762412465	0.997000488191416
Klebsiella	2019.52337173443	-0.267297469651119	0.886518553988193	-0.301513677800227	0.763022821637167	0.997000488191416
Rhodospirillum	1975.19109124152	-0.0599863653525339	0.883626331548387	-0.0678865751402171	0.945875925584215	0.998557641529947
Thermosipho	1972.31282309156	-0.681760348271819	0.902872547280266	-0.755101426359117	0.45018812740964	0.997000488191416
Helicobacter	1945.86199796252	-0.845037575193507	0.912375370579463	-0.92619507545103	0.354344611309604	0.997000488191416
Sphingopyxis	1928.54159088142	-1.85498054410758	0.988302264904766	-1.87693644948424	0.0605268044474978	0.893814444927876
Actinomyces	1897.07884969111	-0.578517111892378	0.897861566161969	-0.644327737922147	0.519362932424573	0.997000488191416
Micromonospora	1896.20716889322	2.47881401555219	1.0351413536308	2.39466233945505	0.0166356773460823	0.705002593496263
Thermosinus	1886.20186115799	0.560214110644734	0.896900490121723	0.624611221439631	0.532226252992031	0.997000488191416
Fervidobacterium	1877.41020111173	-0.597541995904238	0.89880925908604	-0.664815131646344	0.506168743140534	0.997000488191416
Ralstonia	1841.9579228991	-1.31766189802895	0.946036229238981	-1.39282392925789	0.163673040405624	0.997000488191416
Spirosoma	1831.14441232422	0.219515401697103	0.885873907304514	0.247795312501112	0.804292781929684	0.997000488191416
Yersinia	1805.42552765693	-0.758952333602342	0.90753625300427	-0.836277703606812	0.402998693418104	0.997000488191416
Rhodopseudomonas	1790.39379756881	-0.471594013988257	0.893510971221083	-0.52779879506546	0.597638993546622	0.997000488191416
Methanobrevibacter	1702.14243044784	-0.158689803987261	0.885274738496406	-0.179254865282598	0.857737585047152	0.998557641529947
Mycoplasma	1698.89709627651	-0.597546043994654	0.899267910958701	-0.664480558811018	0.506382787839184	0.997000488191416
Capnocytophaga	1690.03533120767	0.0511230408315621	0.884289393583907	0.0578125681507581	0.953897926987721	0.998557641529947
Pseudoalteromonas	1662.00248788398	-1.03634874815989	0.925713305242873	-1.1195137223268	0.262921040055023	0.997000488191416
Chitinophaga	1656.50028080467	0.243746298636076	0.886836348824721	0.274849242432496	0.783432064404643	0.997000488191416
Cytophaga	1630.93493820159	-0.56040700159829	0.897732500285514	-0.624247202167748	0.53246525203191	0.997000488191416
Lysinibacillus	1617.00725000072	-0.373795096158548	0.890525866379336	-0.419746478199796	0.674670667655674	0.997000488191416
Victivallis	1599.7957441578	2.62990866884339	1.04613525537125	2.51392796040517	0.0119394819721905	0.705002593496263
Cyanothece	1599.45419465436	0.0773035016482684	0.884715028614232	0.0873767248752994	0.930372069467525	0.998557641529947
Dethiosulfovibrio	1595.45826542221	-0.56143238058131	0.897891144614181	-0.625278892601792	0.531788030719143	0.997000488191416
Megasphaera	1591.09941847615	0.749720918154555	0.907396192241661	0.826233264548334	0.40867178182638	0.997000488191416
Shigella	1584.83085788147	-2.20634176892244	1.01612398362469	-2.17133125925445	0.0299061410064944	0.770309692591522
Propionibacterium	1583.06735466917	-0.114925126338144	0.885117785778293	-0.129841619030499	0.896691734385308	0.998557641529947
Bordetella	1571.10437892711	-1.48425646929615	0.959703776172179	-1.54657771090177	0.121965107848218	0.997000488191416
Syntrophobacter	1567.85111320713	-0.305619012025791	0.888669514924988	-0.343906263119185	0.730916781564097	0.997000488191416
Desulfotalea	1538.05719310665	-0.335387651721863	0.889626358376934	-0.37699833032573	0.706174845734058	0.997000488191416
Zunongwangia	1512.79716043866	0.521594841870608	0.89624794103529	0.581976055942839	0.560582809147545	0.997000488191416
Mycobacterium	1497.11194384768	-0.443006900027414	0.893327237830092	-0.495906630031214	0.619960288221694	0.997000488191416
Roseiflexus	1495.57801022298	0.1011197225491	0.885261870932522	0.114225774168475	0.909058820792063	0.998557641529947
Streptobacillus	1477.21111671207	-1.06347667063639	0.928188181936635	-1.14575545275472	0.251896352113585	0.997000488191416
Neisseria	1467.36876960716	-0.699731985771043	0.905247974736604	-0.772972716094329	0.439538527921111	0.997000488191416
Lawsonia	1443.55764186203	0.94612510506055	0.919889235024456	1.02852068383581	0.303704966373011	0.997000488191416
Azoarcus	1443.43334723556	-1.86709039208456	0.990365504855516	-1.88525386125695	0.0593955721195887	0.893814444927876
Gramella	1432.44740514288	-0.219796251399911	0.88722261016626	-0.247735178163147	0.804339311864473	0.997000488191416
Pyramidobacter	1406.50049022682	-0.209458096480016	0.887137067394008	-0.236105675411924	0.813350670078349	0.998557641529947
Drosophila	1397.22707063196	0.648887517330416	0.902634862605133	0.718881514788421	0.472213926943503	0.997000488191416
Anaeromyxobacter	1345.68603538411	-0.176250760555931	0.886845877527143	-0.198738884649703	0.842467005142546	0.998557641529947
Methanocorpusculum	1343.12781831537	-0.959362709065634	0.921477704263694	-1.04111331682432	0.297822959769171	0.997000488191416
Pseudoramibacter	1330.36522352448	0.33324846340595	0.890288696874253	0.374315055976745	0.708169931889138	0.997000488191416
Methanosarcina	1325.15783818435	-0.457277446564805	0.894581893828372	-0.511163315197316	0.609236703965157	0.997000488191416
Mobiluncus	1313.14696040547	-0.819156745440033	0.912742184262567	-0.897467827787378	0.369469333269957	0.997000488191416
Dyadobacter	1310.66033537675	-0.0929048062917845	0.886020043447066	-0.104856325744436	0.916489814860958	0.998557641529947
uncultured	1288.11187930859	-0.941186789733326	0.920670629495176	-1.02228393040994	0.306646536653226	0.997000488191416
Syntrophothermus	1257.74571816589	-0.00101040814514889	0.885893870090487	-0.00114055213526389	0.999089971257785	0.99996197636161
Filifactor	1239.87876909363	-0.125595226318103	0.88670391749534	-0.141642800759097	0.8873621576239	0.998557641529947
Xylanimonas	1223.03941699759	-0.31664285854981	0.890500902692693	-0.355578368974524	0.722156345333964	0.997000488191416
Pediococcus	1217.23628314517	0.0941049899087009	0.886482096646953	0.10615554478161	0.915458941702345	0.998557641529947
Methanococcus	1163.68464244953	-0.425000077074708	0.894256939518885	-0.475254994725969	0.634605233038244	0.997000488191416
Photobacterium	1154.07251717437	-1.11466055730065	0.933254132344163	-1.19438052152078	0.232329152715202	0.997000488191416
Thermanaerovibrio	1105.71837354374	-0.416065085293946	0.894313655187421	-0.465233962246446	0.641763920049529	0.997000488191416
Arthrobacter	1101.78284359217	-0.518912071848486	0.898320861893947	-0.577646689351569	0.563502678177579	0.997000488191416
Syntrophus	1090.4997056462	0.25883777583295	0.889747139368029	0.290911613401531	0.771118919059416	0.997000488191416
Bulleidia	1084.52194869498	-0.331792203630372	0.891790597438768	-0.372051695300762	0.709854360294979	0.997000488191416
Granulicatella	1059.71312365353	-0.495470511742688	0.897641380879745	-0.551969330176261	0.580969366334369	0.997000488191416
Dehalococcoides	1040.56200448208	-0.225939468981279	0.889542433659445	-0.253995155747431	0.79949930056352	0.997000488191416
Thermaerobacter	1040.55519488461	-0.229873737522209	0.889620345633615	-0.258395324084551	0.796101824941564	0.997000488191416
Prochlorococcus	1011.25156580216	0.0179676807435338	0.887522449696045	0.0202447619772179	0.98384812029781	0.99996197636161
Halanaerobium	1004.17657656117	-0.415353953779883	0.895042305771467	-0.464060694228164	0.642604261539329	0.997000488191416
Macaca	1000.71375265837	0.998688908781543	0.925814200969132	1.07871418232311	0.280715161381312	0.997000488191416
Oenococcus	984.122859603513	-1.06979106992066	0.931176470735987	-1.1488596453421	0.250613860045128	0.997000488191416
Aminobacterium	978.571680857578	-0.37232825784215	0.893830239852162	-0.416553660014605	0.677004910388615	0.997000488191416
Rhizobium	977.147587889116	-0.360931218432658	0.893488587740578	-0.40395727867702	0.68624413486597	0.997000488191416
Rhodothermus	972.160953491256	-0.0549753408131274	0.887989597618203	-0.0619098928192224	0.950634589281952	0.998557641529947
Acidovorax	951.409578913724	-0.775761167205705	0.912448383485352	-0.850197316633373	0.395215393361432	0.997000488191416
Rhodobacter	944.363132546943	0.25545906653177	0.890835627988302	0.286763414602816	0.77429347782451	0.997000488191416
Polaribacter	936.287784719629	-0.106722500915622	0.888694062351995	-0.120089134649075	0.904412539395179	0.998557641529947
Acetohalobium	912.181887556695	-0.016043864526707	0.888421242226352	-0.0180588483977507	0.985591906814519	0.99996197636161
Deinococcus	893.333469351699	0.120130975056263	0.889187669054451	0.135101935437329	0.892531279952005	0.998557641529947
Mannheimia	892.051725688006	-0.550181307826562	0.901410299445739	-0.610356136561628	0.541625917879925	0.997000488191416
Carboxydibrachium	884.828229786935	0.423213911400741	0.896188985542023	0.472237349742452	0.636757383066563	0.997000488191416
Macrococcus	882.301634270056	0.47378412015512	0.898069919086308	0.527558166781876	0.597806034616069	0.997000488191416
Dechloromonas	878.545580288278	-0.719638245188563	0.909971507946948	-0.79083601948394	0.429039687881421	0.997000488191416
Pectobacterium	876.415480763644	-0.593871253640943	0.903571016352353	-0.657249118102919	0.511020747480714	0.997000488191416
Rhodoferax	875.368994333837	-0.723178227825957	0.910198321656778	-0.794528193053135	0.426888002780056	0.997000488191416
Ammonifex	871.266955365268	-0.563721678206608	0.902232268983946	-0.624807710370907	0.532097269582434	0.997000488191416
Leeuwenhoekiella	867.930669991297	-0.274202291167998	0.89216971719418	-0.307343194779518	0.758582160934682	0.997000488191416
Sinorhizobium	866.807086408304	-1.09081344525041	0.933679320115193	-1.16829560401513	0.24268754795952	0.997000488191416
Bradyrhizobium	866.375655332026	-0.152092119426267	0.889928983950914	-0.170903658796504	0.86429951968819	0.998557641529947
Citrobacter	866.129857580851	-1.1708823767062	0.939442885815238	-1.24635823463619	0.212632907177856	0.997000488191416
Aeromonas	854.705257426779	-0.444845913464845	0.89752569960526	-0.495635850494857	0.620151354247762	0.997000488191416
Caenorhabditis	852.726273530859	1.52612666913586	0.966097553653455	1.57968174473123	0.114179768313808	0.997000488191416
Edwardsiella	846.045823555642	-1.60387591776172	0.972841754555016	-1.64865036913978	0.0992192833631083	0.997000488191416
Rubrobacter	842.28118578305	-0.67075737402834	0.907751793592117	-0.738921562880143	0.459954627911737	0.997000488191416
Petrotoga	835.979411976291	-0.218947708713046	0.891358691203203	-0.245633672363142	0.805965820875584	0.997000488191416
Legionella	824.054867383569	-1.43012526836263	0.959421732783314	-1.49061170859012	0.136063468484252	0.997000488191416
Enterobacter	815.67527925097	-1.45494286849831	0.961424956642244	-1.51331922314526	0.130198592095229	0.997000488191416
Maribacter	812.036945152702	4.94740649059504e-05	0.889524453525956	5.56185551839995e-05	0.999955622813547	0.99996197636161
Magnetospirillum	810.533328595554	0.600690895174506	0.904299383378049	0.66426109120035	0.506523219224915	0.997000488191416
Nostoc	804.36863383492	0.0935126807541309	0.889969345842591	0.105074046865734	0.916317052885284	0.998557641529947
Arcanobacterium	800.16687733976	-1.15324999154455	0.938853045082596	-1.22836049537773	0.219311670698899	0.997000488191416
Parvimonas	797.40632907331	0.0687306458875519	0.889893032626859	0.0772347275095155	0.938436815588048	0.998557641529947
Desulfuromonas	793.753071295781	-0.291187655414143	0.893467672513957	-0.325907320848919	0.744494476617632	0.997000488191416
Acinetobacter	788.303384269779	-0.266418975052673	0.892948459013658	-0.298358737689023	0.765429378213295	0.997000488191416
Leadbetterella	787.173643331471	-0.247758855870363	0.892551202962933	-0.277585033830997	0.781330922083659	0.997000488191416
Thermus	778.763738131324	0.163371021877283	0.891053415807296	0.18334593524819	0.85452659409781	0.998557641529947
Branchiostoma	776.382987984516	2.28131117934602	1.02476050847842	2.22618959305267	0.0260014847500798	0.737696915331308
Xanthomonas	774.814588984812	0.0127254951887102	0.890015224281265	0.0142980646190482	0.988592183684583	0.99996197636161
Thermococcus	773.414655728583	0.495829175810885	0.900193837231332	0.550802677494299	0.581768948515078	0.997000488191416
Bacteroidetes	771.574290217617	1.39380185288061	0.956600461420165	1.45703656760878	0.145106286429466	0.997000488191416
Desulfococcus	771.219538906879	0.134935184797535	0.890801491263096	0.151476155036748	0.879600119308026	0.998557641529947
Marinomonas	767.761567875071	-0.77230337528518	0.914214045215248	-0.844773036825686	0.398237571700813	0.997000488191416
Robiginitalea	761.465064326956	-0.0423755928730939	0.89029025794205	-0.0475975026066748	0.962037022406715	0.998557641529947
Pasteurella	759.551567437132	-1.71712045873091	0.982531899432943	-1.74764855952456	0.0805249012969506	0.942625685746614
Paracoccidioides	747.321660587941	0.904417771454847	0.92217149911254	0.980747911126317	0.326717070825506	0.997000488191416
Bell	736.690522127383	-3.50213181911629	1.13464418982605	-3.08654629400006	0.00202496412229102	0.499077958028893
Flavobacteria	717.144211448003	-0.173170573115812	0.89221136359719	-0.194091422931029	0.846104297435993	0.998557641529947
Leptospira	708.446763815175	0.280411896006363	0.894253954647566	0.313570764265589	0.753847067093199	0.997000488191416
Trichomonas	707.904187598347	0.558099735842678	0.9037428848788	0.617542605513873	0.536876888114849	0.997000488191416
Strongylocentrotus	704.715521787789	0.300248761023826	0.894791279069574	0.335551729265882	0.737208929818463	0.997000488191416
Sulfurihydrogenibium	702.43188019894	-0.168271261097009	0.892378128525672	-0.188564976794103	0.85043378478015	0.998557641529947
Desulfatibacillum	699.331739155527	-0.352249971442592	0.896559052940362	-0.392890987255496	0.694399998548969	0.997000488191416
Methanosphaera	691.460679252393	-0.680196866997944	0.910287328222355	-0.747233149258772	0.454922837485438	0.997000488191416
